County,Crimes,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Solano,Violent Crimes,2001.0,2109.0,2063.0,2022.0,2112.0,2110.0,2114.0,2350.0,2294.0,2503.0
Solano,Property Crimes,13533.0,13453.0,13012.0,11719.0,12004.0,11894.0,13161.0,10689.0,10474.0,11856.0
Solano,Arson,115.0,87.0,107.0,121.0,140.0,107.0,106.0,177.0,182.0,139.0
Sonoma,Violent Crimes,1782.0,1821.0,1898.0,1868.0,2025.0,1985.0,2016.0,2212.0,1946.0,1682.0
Sonoma,Property Crimes,8218.0,8583.0,9943.0,7794.0,7586.0,7167.0,6760.0,6412.0,6707.0,5996.0
Sonoma,Arson,69.0,68.0,87.0,54.0,64.0,52.0,72.0,74.0,67.0,94.0
Stanislaus,Violent Crimes,2716.0,2826.0,3093.0,3366.0,3300.0,3160.0,2908.0,2823.0,2740.0,2973.0
Stanislaus,Property Crimes,20538.0,18559.0,19782.0,17918.0,16789.0,15300.0,14274.0,10843.0,10966.0,11292.0
Stanislaus,Arson,139.0,118.0,126.0,111.0,127.0,150.0,169.0,204.0,206.0,192.0
Sutter,Violent Crimes,244.0,316.0,320.0,360.0,342.0,328.0,318.0,311.0,414.0,476.0
Sutter,Property Crimes,2938.0,2364.0,2391.0,2691.0,2847.0,2495.0,2447.0,2425.0,2355.0,2362.0
Sutter,Arson,18.0,24.0,18.0,9.0,17.0,12.0,8.0,14.0,17.0,7.0
Tehama,Violent Crimes,351.0,321.0,329.0,360.0,274.0,267.0,256.0,347.0,335.0,326.0
Tehama,Property Crimes,1676.0,1589.0,1663.0,1937.0,1823.0,1616.0,1623.0,1294.0,1289.0,1486.0
Tehama,Arson,19.0,7.0,23.0,13.0,12.0,21.0,22.0,35.0,44.0,53.0
Trinity,Violent Crimes,30.0,34.0,34.0,66.0,77.0,79.0,61.0,82.0,83.0,87.0
Trinity,Property Crimes,139.0,174.0,244.0,299.0,254.0,257.0,237.0,198.0,221.0,238.0
Trinity,Arson,0.0,2.0,0.0,0.0,1.0,6.0,2.0,4.0,14.0,9.0
Tulare,Violent Crimes,2097.0,1903.0,1815.0,1608.0,1645.0,1587.0,1692.0,1699.0,1945.0,2087.0
Tulare,Property Crimes,14290.0,11398.0,11783.0,11563.0,11722.0,11682.0,10625.0,9400.0,9082.0,9876.0
Tulare,Arson,44.0,37.0,33.0,28.0,72.0,114.0,87.0,104.0,68.0,191.0
Tuolumne,Violent Crimes,103.0,151.0,227.0,187.0,206.0,197.0,195.0,244.0,322.0,375.0
Tuolumne,Property Crimes,1227.0,1157.0,1280.0,1272.0,1124.0,985.0,1074.0,967.0,951.0,728.0
Tuolumne,Arson,15.0,10.0,6.0,12.0,13.0,8.0,10.0,18.0,7.0,13.0
Ventura,Violent Crimes,1629.0,1890.0,2175.0,2192.0,2239.0,2048.0,1830.0,1686.0,1758.0,1645.0
Ventura,Property Crimes,16400.0,16812.0,17253.0,16415.0,15985.0,14659.0,12634.0,13083.0,12161.0,11124.0
Ventura,Arson,130.0,84.0,95.0,113.0,110.0,103.0,91.0,115.0,140.0,114.0
Yolo,Violent Crimes,642.0,757.0,804.0,639.0,568.0,674.0,637.0,621.0,689.0,596.0
Yolo,Property Crimes,6434.0,5507.0,6050.0,5368.0,5656.0,5793.0,6644.0,6426.0,5503.0,5215.0
Yolo,Arson,66.0,72.0,40.0,52.0,73.0,51.0,88.0,77.0,38.0,48.0
Yuba,Violent Crimes,272.0,296.0,313.0,318.0,325.0,341.0,326.0,404.0,354.0,279.0
Yuba,Property Crimes,2143.0,2135.0,2018.0,1944.0,2072.0,1856.0,1844.0,1841.0,1284.0,1227.0
Yuba,Arson,19.0,19.0,15.0,27.0,31.0,33.0,20.0,41.0,28.0,21.0
Total,Violent Crimes,151634.0,151425.0,166588.0,174701.0,178553.0,176866.0,173205.0,173864.0,183546.0,193019.0
Total,Property Crimes,1018333.0,946682.0,1023828.0,1001380.0,986769.0,940998.0,915197.0,841171.0,857599.0,902977.0
Total,Arson,7446.0,7135.0,7380.0,7766.0,8650.0,8523.0,8266.0,11759.0,11138.0,9841.0
