County,Crimes,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Stanislaus,Property Crimes,"20,538","18,559","19,782","17,918","16,789","15,300","14,274","10,843","10,966","11,292"
Stanislaus,Arson,139,118,126,111,127,150,169,204,206,192
Sutter,Violent Crimes,244,316,320,360,342,328,318,311,414,476
Sutter,Property Crimes,"2,938","2,364","2,391","2,691","2,847","2,495","2,447","2,425","2,355","2,362"
Sutter,Arson,18,24,18,9,17,12,8,14,17,7
Tehama,Violent Crimes,351,321,329,360,274,267,256,347,335,326
Tehama,Property Crimes,"1,676","1,589","1,663","1,937","1,823","1,616","1,623","1,294","1,289","1,486"
Tehama,Arson,19,7,23,13,12,21,22,35,44,53
Trinity,Violent Crimes,30.0,34.0,34.0,66.0,77.0,79.0,61.0,82.0,83.0,87.0
Trinity,Property Crimes,139.0,174.0,244.0,299.0,254.0,257.0,237.0,198.0,221.0,238.0
Trinity,Arson,0.0,2.0,0.0,0.0,1.0,6.0,2.0,4.0,14.0,9.0
Tulare,Violent Crimes,"2,097","1,903","1,815","1,608","1,645","1,587","1,692","1,699","1,945","2,087"
Tulare,Property Crimes,"14,290","11,398","11,783","11,563","11,722","11,682","10,625","9,400","9,082","9,876"
Tulare,Arson,44,37,33,28,72,114,87,104,68,191
Tuolumne,Violent Crimes,103,151,227,187,206,197.0,195,244.0,322.0,375.0
Tuolumne,Property Crimes,"1,227","1,157","1,280","1,272","1,124",985.0,"1,074",967.0,951.0,728.0
Tuolumne,Arson,15,10,6,12,13,8.0,10,18.0,7.0,13.0
Ventura,Violent Crimes,"1,629","1,890","2,175","2,192","2,239","2,048","1,830","1,686","1,758","1,645"
Ventura,Property Crimes,"16,400","16,812","17,253","16,415","15,985","14,659","12,634","13,083","12,161","11,124"
Ventura,Arson,130,84,95,113,110,103,91,115,140,114
Yolo,Violent Crimes,642,757,804,639,568,674,637,621,689,596
Yolo,Property Crimes,"6,434","5,507","6,050","5,368","5,656","5,793","6,644","6,426","5,503","5,215"
Yolo,Arson,66,72,40,52,73,51,88,77,38,48
Yuba,Violent Crimes,272,296,313,318,325,341,326,404,354,279
Yuba,Property Crimes,"2,143","2,135","2,018","1,944","2,072","1,856","1,844","1,841","1,284","1,227"
Yuba,Arson,19,19,15,27,31,33,20,41,28,21
